###########
# Mechs A #
###########

exact "Balius C" "mechs/Balius C.gif"
exact "Balius D" "mechs/Balius D.gif"

chassis "Bandersnatch" "mechs/Bandersnatch.gif"

chassis "Bane" "mechs/Bane.gif"
exact "Bane 3" "mechs/Bane 3.gif"
exact "Bane 4" "mechs/Bane 4.gif"

chassis "Banshee"       "mechs/Banshee.gif"
exact "Banshee BNC-3M"  "mechs/Banshee BNC-3M.gif"
exact "Banshee BNC-3Mr" "mechs/Banshee BNC-3Mr.gif"
exact "Banshee BNC-3Q"  "mechs/Banshee BNC-3Q.gif"
exact "Banshee BNC-3S"  "mechs/Banshee BNC-3S.gif"

chassis "Banzai" "defaults/default_assault.gif"

chassis "Barghest"      "mechs/Barghest.gif"
exact "Barghest BGS-7S" "mechs/Barghest BGS-7S.gif"

chassis "Battleaxe" "mechs/Battleaxe.gif"

chassis "Battle Cobra" "mechs/Battle Cobra.gif"
exact "Battle Cobra A" "mechs/Battle Cobra A.gif"
exact "Battle Cobra B" "mechs/Battle Cobra B.gif"
exact "Battle Cobra C" "mechs/Battle Cobra C.gif"
exact "Battle Cobra H" "mechs/Battle Cobra H.gif"

chassis "Battle Hawk" "mechs/Battle Hawk.gif"

chassis "Battlemaster"      "mechs/Battlemaster.gif"
exact "Battlemaster BLR-1D" "mechs/Battlemaster BLR-1D.gif"
exact "Battlemaster BLR-1S" "mechs/Battlemaster BLR-1S.gif"
exact "Battlemaster BLR-4S" "mechs/Battlemaster BLR-4S.gif"

chassis "Bear Cub" "mechs/Bear Cub.gif"

chassis "Beowulf"      "mechs/Beowulf.gif"
exact "Beowulf BEO-14" "mechs/Beowulf BEO-14.gif"

chassis "Berserker" "mechs/Berserker.gif"

chassis "Bishamon"       "mechs/Bishamon.gif"
exact "Bishamon BSN-5KC" "mechs/Bishamon BSN-5KC.gif"

chassis "Black Hawk" "mechs/Black Hawk.gif"

chassis "Black Hawk-KU"       "mechs/Black Hawk.gif"
exact "Black Hawk-KU BHKU-OA" "mechs/Black Hawk-KU BHKU-OA.gif"
exact "Black Hawk-KU BHKU-OB" "mechs/Black Hawk-KU BHKU-OB.gif"
exact "Black Hawk-KU BHKU-OC" "mechs/Black Hawk-KU BHKU-OC.gif"
exact "Black Hawk-KU BHKU-OD" "mechs/Black Hawk-KU BHKU-OD.gif"
exact "Black Hawk-KU BHKU-OE" "mechs/Black Hawk-KU BHKU-OE.gif"

chassis "Blackjack"      "mechs/Blackjack.gif"
exact "Blackjack BJ2-O"  "mechs/Blackjack BJ2-O.gif"
exact "Blackjack BJ2-OA" "mechs/Blackjack BJ2-OA.gif"
exact "Blackjack BJ2-OB" "mechs/Blackjack BJ2-OB.gif"
exact "Blackjack BJ2-OC" "mechs/Blackjack BJ2-OC.gif"
exact "Blackjack BJ2-OD" "mechs/Blackjack BJ2-OD.gif"
exact "Blackjack BJ2-OE" "mechs/Blackjack BJ2-OE.gif"
exact "Blackjack BJ2-OF" "mechs/Blackjack BJ2-OF.gif"
exact "Blackjack BJ2-OR" "mechs/Blackjack BJ2-OR.gif"
exact "Blackjack BJ2-OX" "mechs/Blackjack BJ2-OX.gif"
exact "Blackjack BJ-1DB" "mechs/Blackjack BJ-1DB.gif"
exact "Blackjack BJ-1DC" "mechs/Blackjack BJ-1DC.gif"

chassis "Black Knight" "mechs/Black Knight.gif"

chassis "Black Lanner" "mechs/Black Lanner.gif"
exact "Black Lanner A" "mechs/Black Lanner A.gif"
exact "Black Lanner B" "mechs/Black Lanner B.gif"
exact "Black Lanner C" "mechs/Black Lanner C.gif"
exact "Black Lanner D" "mechs/Black Lanner D.gif"
exact "Black Lanner E" "mechs/Black Lanner E.gif"

chassis "Black Python" "mechs/Black Python.gif"

chassis "Black Watch"      "mechs/Black Watch.gif"
exact "Black Watch BKW-9R" "mechs/Black Watch BKW-9R.gif"

chassis "Blade" "mechs/Blade.gif"

chassis "BlazeMaster" "mechs/Blazemaster.gif"

chassis "Blitzkrieg"      "mechs/Blitzkrieg.gif"
exact "Blitzkrieg BTZ-4F" "mechs/Blitzkrieg BTZ-4F.gif"

chassis "Blood Asp" "mechs/Blood Asp.gif"
exact "Blood Asp A" "mechs/Blood Asp A.gif"
exact "Blood Asp B" "mechs/Blood Asp B.gif"
exact "Blood Asp C" "mechs/Blood Asp C.gif"
exact "Blood Asp D" "mechs/Blood Asp D.gif"
exact "Blood Asp E" "mechs/Blood Asp E.gif"
exact "Blood Asp F" "mechs/Blood Asp F.gif"
exact "Blood Asp G" "mechs/Blood Asp G.gif"

chassis "Bloodhound" "mechs/Bloodhound.gif"

chassis "Blood Kite" "mechs/Blood Kite.gif"

chassis "Blood Reaper" "defaults/default_heavy.gif"

chassis "Blue Flame" "mechs/Blue Flame.gif"

chassis "Bombard" "mechs/Bombard.gif"

chassis "Bombardier"       "mechs/Bombardier.gif"
exact "Bombardier BMB-12D" "mechs/Bombardier BMB-12D.gif"
exact "Bombardier BMB-05A" "mechs/Bombardier BMB-05A.gif"

chassis "Bowman" "mechs/Bowman.gif"
exact "Bowman 2" "mechs/Bowman 2.gif"

chassis "Brigand"      "mechs/Brigand.gif"
exact "Brigand LDT-X2" "mechs/Brigand LDT-X2.gif"

chassis "Bruin" "mechs/Bruin.gif"

chassis "Buccaneer"      "mechs/Buccaneer.gif"
exact "Buccaneer BCN-6W" "mechs/Buccaneer BCN-6W.gif"

chassis "Burrock" "mechs/Burrock.gif"

chassis "Bushwacker" "mechs/Bushwacker.gif"

chassis "Buster Class HaulerMech" "mechs/Buster.gif"


###########
# Mechs C #
###########

chassis "Caesar"       "mechs/Caesar.gif"
exact "Caeasar CES-4S" "mechs/Caeasar CES-4S.gif"

chassis "Cameroon" "mechs/Cameroon.gif"

chassis "Canis" "mechs/Canis.gif"
exact "Canis 2" "mechs/Canis 2.gif"

chassis "Carbine ConstructionMech"              "mechs/Carbine.gif"
exact "Carbine ConstructionMech CON-1 (Rocket)" "mechs/Carbine ConstructionMech CON-1 (Rocket).gif"

chassis "Cataphract"       "mechs/Cataphract.gif"
exact "Cataphract CTF-2X"  "mechs/Cataphract CTF-2X.gif"
exact "Cataphract CTF-3D"  "mechs/Cataphract CTF-3D.gif"
exact "Cataphract CTF-3L"  "mechs/Cataphract CTF-3L.gif"
exact "Cataphract CTF-3LL" "mechs/Cataphract CTF-3LL.gif"
exact "Cataphract CTF-4L"  "mechs/Cataphract CTF-4L.gif"

chassis "Catapult"        "mechs/Catapult.gif"
exact "Catapult CPLT-C1"  "mechs/Catapult CPLT-C1.gif"
exact "Catapult CPLT-C4"  "mechs/Catapult CPLT-C4.gif"
exact "Catapult CPLT-C6"  "mechs/Catapult CPLT-C6.gif"
exact "Catapult CPLT-K2"  "mechs/Catapult CPLT-K2.gif"
exact "Catapult CPLT-K2K" "mechs/Catapult CPLT-K2K.gif"
exact "Catapult CPLT-K4"  "mechs/Catapult CPLT-K4.gif"

chassis "Centurion"        "mechs/Centurion.gif"
exact "Centurion CN9-D5"   "mechs/Centurion CN9-D5.gif"
exact "Centurion CN9-AH"   "mechs/Centurion CN9-AH.gif"
exact "Centurion CN9-AL"   "mechs/Centurion CN9-AL.gif"
exact "Centurion CN9-YLW"  "mechs/Centurion CN9-YLW.gif"
exact "Centurion CN9-YLW2" "mechs/Centurion CN9-YLW2.gif"

chassis "Cerberus" "mechs/Cerberus.gif"

chassis "Cestus" "mechs/Cestus.gif"

chassis "Chameleon"      "mechs/Chameleon.gif"
exact "Chameleon CLN-4V" "mechs/Chameleon CLN-4V.gif"
exact "Chameleon CLN-7Z" "mechs/Chameleon CLN-7Z.gif"

chassis "Champion"      "mechs/Champion.gif"
exact "Champion C"      "mechs/Champion C.gif"
exact "Champion CHP-3P" "mechs/Champion CHP-3P.gif"
exact "Champion CHP-3N" "mechs/Champion CHP-3N.gif"

chassis "Charger"       "mechs/Charger.gif"
exact "Charger CGR-1A5" "mechs/Charger CGR-1A5.gif"
exact "Charger CGR-1A9" "mechs/Charger CGR-1A9.gif"
exact "Charger CGR-1L"  "mechs/Charger CGR-1L.gif"
exact "Charger CGR-SB"  "mechs/Charger CGR-SB.gif"

chassis "Chimera" "mechs/Chimera.gif"

chassis "Cicada"      "mechs/Cicada.gif"
exact "Cicada CDA-2B" "mechs/Cicada CDA-2B.gif"
exact "Cicada CDA-3C" "mechs/Cicada CDA-3C.gif"

chassis "Clint"         "mechs/Clint.gif"
exact "Clint CLNT-1-2R" "mechs/Clint CLNT-1-2R.gif"
exact "Clint CLNT-2-4T" "mechs/Clint CLNT-2-4T.gif"

chassis "Clint IIC" "mechs/Clint IIC.gif"

chassis "Cobra" "mechs/Cobra.gif"

chassis "Colossus" "mechs/Colossus.gif"

chassis "Commando"      "mechs/Commando.gif"
exact "Commando COM-1A" "mechs/Commando COM-1A.gif"
exact "Commando COM-1B" "mechs/Commando COM-1B.gif"
exact "Commando COM-1D" "mechs/Commando COM-1D.gif"
exact "Commando COM-3A" "mechs/Commando COM-3A.gif"
exact "Commando COM-4H" "mechs/Commando COM-4H.gif"

chassis "Commando IIC" "mechs/Commando IIC.gif"

chassis "Conjurer" "mechs/Conjurer.gif"
exact "Conjurer 2" "mechs/Conjurer 2.gif"
exact "Conjurer 3" "mechs/Conjurer 3.gif"
exact "Conjurer 4" "mechs/Conjurer 4.gif"
exact "Conjurer 5" "mechs/Conjurer 5.gif"

Chassis "Copper SecurityMech" "mechs/Copper SecurityMech.gif"

chassis "Copperhead" "mechs/Copperhead.gif"

chassis "Corvis" "mechs/Corvis.gif"
exact "Corvis 2" "mechs/Corvis 2.gif"

chassis "Cossack"          "mechs/Cossack.gif"
exact "Cossack C-1FC"      "mechs/Cossack C-1FC.gif"
exact "Cossack MAD-COS-3C" "mechs/Cossack MAD-COS-3C.gif"

chassis "Cougar" "mechs/Cougar.gif"
exact "Cougar A" "mechs/Cougar A.gif"
exact "Cougar B" "mechs/Cougar B.gif"
exact "Cougar C" "mechs/Cougar C.gif"
exact "Cougar D" "mechs/Cougar D.gif"
exact "Cougar E" "mechs/Cougar E.gif"
exact "Cougar F" "mechs/Cougar F.gif"
exact "Cougar G" "mechs/Cougar G.gif"
exact "Cougar H" "mechs/Cougar H.gif"

chassis "Crab"      "mechs/Crab.gif"
exact "Crab CRB-30" "mechs/Crab CRB-30.gif"
exact "Crab CRB-45" "mechs/Crab CRB-45.gif"

chassis "Crimson Hawk" "mechs/Crimson Hawk.gif"

chassis "Crimson Langur" "mechs/Crimson Langur.gif"
exact "Crimson Langur A" "mechs/Crimson Langur A.gif"
exact "Crimson Langur B" "mechs/Crimson Langur B.gif"
exact "Crimson Langur C" "mechs/Crimson Langur C.gif"

chassis "Crockett"           "mechs/Crockett.gif"
exact "Crockett CRK-5003-1b" "mechs/Crockett CRK-5003-1b.gif"
exact "Crockett CRK-5005-1"  "mechs/Crockett CRK-5005-1.gif"

chassis "Cronus" "mechs/Cronus.gif"

chassis "Crossbow"      "mechs/Crossbow.gif"
exact "Crossbow A"      "mechs/Crossbow A.gif"
exact "Crossbow B"      "mechs/Crossbow B.gif"
exact "Crossbow C"      "mechs/Crossbow C.gif"
exact "Crossbow CRS-6B" "mechs/Crossbow CRS-6B.gif"
exact "Crossbow CRS-6C" "mechs/Crossbow CRS-6C.gif"
exact "Crossbow CRS-9A" "mechs/Crossbow CRS-9A.gif"
exact "Crossbow CRS-X"  "mechs/Crossbow CRS-X.gif"
exact "Crossbow H"      "mechs/Crossbow H.gif"

chassis "Crosscut LoggerMech" "mechs/Crosscut LoggerMech.gif"

chassis "Crusader"      "mechs/Crusader.gif"
exact "Crusader CRD-3K" "mechs/Crusader CRD-3K.gif"
exact "Crusader CRD-3L" "mechs/Crusader CRD-3L.gif"
exact "Crusader CRD-8S" "mechs/Crusader CRD-8S.gif"

chassis "Cudgel" "mechs/Cudgel.gif"

chassis "Cyclops"       "mechs/Cyclops.gif"
exact "Cyclops CP-10-Q" "mechs/Cyclops CP-10-Q.gif"
exact "Cyclops CP-11-C" "mechs/Cyclops CP-11-C.gif"
exact "Cyclops CP-11-H" "mechs/Cyclops CP-11-H.gif"

chassis "Cygnus" "mechs/Cygnus.gif"


###########
# Mechs D #
###########

chassis "Daboku" "mechs/Daboku.gif"

chassis "Daedalus"                  "mechs/Daedalus.gif"
exact "Daedelus-Drago"              "mechs/Daedelus-Drago.gif"
exact "Daedalus GTX2 (Militarized)" "mechs/Daedalus GTX2 (Militarized).gif"
exact "Daedalus GTX2A Stevedore"    "mechs/Daedalus GTX2A Stevedore.gif"
exact "Daedalus GTX2B Navvy"        "mechs/Daedalus GTX2B Navvy.gif"

chassis "Daikyu" "mechs/Daikyu.gif"

chassis "Daimyo" "mechs/Daimyo.gif"

chassis "Dark Crow" "mechs/Dark Crow.gif"

chassis "Dart" "mechs/Dart.gif"

chassis "Defiance" "mechs/Defiance.gif"

chassis "Dervish" "mechs/Dervish.gif"

chassis "Dervish IIC" "mechs/Dervish IIC.gif"

chassis "Deva"                 "mechs/Deva.gif"
exact "Deva C-DVA-OA Dominus"  "mechs/Deva C-DVA-OA Dominus.gif"
exact "Deva C-DVA-OB Infernus" "mechs/Deva C-DVA-OB Infernus.gif"
exact "Deva C-DVA-OC Comminus" "mechs/Deva C-DVA-OC Comminus.gif"
exact "Deva C-DVA-OD Luminos"  "mechs/Deva C-DVA-OD Luminos.gif"
exact "Deva C-DVA-OE Eminus"   "mechs/Deva C-DVA-OE Eminus.gif"

Chassis "Devastator"     "mechs/Devastator.gif"
exact "Devastator DVS-2" "mechs/Devastator DVS-2.gif"
exact "Devastator DVS-3" "mechs/Devastator DVS-3.gif"

chassis "Dire Wolf"          "mechs/Dire Wolf.gif"
exact "Dire Wolf A"          "mechs/Dire Wolf A.gif"
exact "Dire Wolf B"          "mechs/Dire Wolf B.gif"
exact "Dire Wolf C"          "mechs/Dire Wolf C.gif"
exact "Dire Wolf D"          "mechs/Dire Wolf D.gif"
exact "Dire Wolf H"          "mechs/Dire Wolf H.gif"
exact "Dire Wolf W"          "mechs/Dire Wolf W.gif"
exact "Dire Wolf Hohiro"     "mechs/Dire Wolf Hohiro.gif"
exact "Dire Wolf Prometheus" "mechs/Dire Wolf Prometheus.gif"
exact "Dire Wolf Widowmaker" "mechs/Dire Wolf Widowmaker.gif"

chassis "Dragon" "mechs/Dragon.gif"
exact "Dragon DRG-1C" "mechs/Dragon DRG-1C.gif"

chassis "Dragon Fire" "mechs/Dragon Fire.gif"

chassis "Duan Gung" "mechs/Duan Gung.gif"
exact "Duan Gung D9-G10" "mechs/Duan Gung D9-G10.gif"


###########
# Mechs E #
###########

chassis "Eagle"      "mechs/Eagle.gif"
exact "Eagle EGL-1M" "mechs/Eagle EGL-1M.gif"
exact "Eagle EGL-2M" "mechs/Eagle EGL-2M.gif"
exact "Eagle EGL-3M" "mechs/Eagle EGL-3M.gif"

chassis "Ebon Jaguar" "mechs/Ebon Jaguar.gif"
exact "Ebon Jaguar A" "mechs/Ebon Jaguar A.gif"
exact "Ebon Jaguar B" "mechs/Ebon Jaguar B.gif" 
exact "Ebon Jaguar C" "mechs/Ebon Jaguar C.gif"
exact "Ebon Jaguar D" "mechs/Ebon Jaguar D.gif"
exact "Ebon Jaguar H" "mechs/Ebon Jaguar H.gif"

chassis "Eidolon" "mechs/Eidolon.gif"

chassis "Eisenfaust" "mechs/Eisenfaust.gif"

chassis "Emperor Dragon" "mechs/Emperor Dragon.gif"

chassis "Emperor" "mechs/Emperor.gif"

chassis "Enfield" "mechs/Enfield.gif"

chassis "Enforcer" "mechs/Enforcer.gif"

chassis "Enforcer III" "mechs/Enforcer III.gif"

chassis "Excalibur"      "mechs/Excalibur.gif"
exact "Excalibur EXC-CS" "mechs/Excalibur EXC-CS.gif"
exact "Excalibur EXC-D1" "mechs/Excalibur EXC-D1.gif"

chassis "Exterminator" "mechs/Exterminator.gif"

chassis "Exterminator IIC" "mechs/Exterminator IIC.gif"

chassis "Executioner" "mechs/Executioner.gif"
exact "Executioner A" "mechs/Executioner A.gif"
exact "Executioner B" "mechs/Executioner B.gif"
exact "Executioner C" "mechs/Executioner C.gif"
exact "Executioner D" "mechs/Executioner D.gif"
exact "Executioner E" "mechs/Executioner E.gif"
exact "Executioner H" "mechs/Executioner H.gif"
exact "Executioner K" "mechs/Executioner K.gif"
exact "Executioner P" "mechs/Executioner P.gif"

chassis "Eyleuka" "mechs/Eyleuka.gif"


###########
# Mechs F #
###########

chassis "Fafnir" "mechs/Fafnir.gif"

chassis "Falcon" "mechs/Falcon.gif"

chassis "Falconer" "mechs/Falconer.gif"

chassis "Falcon Hawk" "mechs/Falcon Hawk.gif"

chassis "Fireball" "mechs/Fireball.gif"

chassis "Firebee"      "mechs/Firebee.gif"
exact "Firebee FRB-3E" "mechs/Firebee FRB-3E.gif"

chassis "Fire Falcon" "mechs/Fire Falcon.gif"
exact "Fire Falcon A" "mechs/Fire Falcon A.gif"
exact "Fire Falcon B" "mechs/Fire Falcon B.gif"
exact "Fire Falcon C" "mechs/Fire Falcon C.gif"
exact "Fire Falcon D" "mechs/Fire Falcon D.gif"
exact "Fire Falcon E" "mechs/Fire Falcon E.gif"
exact "Fire Falcon H" "mechs/Fire Falcon H.gif"

chassis "Firefly" "mechs/Firefly.gif"

chassis "Firefly C" "mechs/Firefly C.gif"

chassis "Fire Moth" "mechs/Fire Moth.gif"
exact "Fire Moth A" "mechs/Fire Moth A.gif"
exact "Fire Moth B" "mechs/Fire Moth B.gif"
exact "Fire Moth C" "mechs/Fire Moth C.gif"
exact "Fire Moth D" "mechs/Fire Moth D.gif"
exact "Fire Moth E" "mechs/Fire Moth E.gif"
exact "Fire Moth F" "mechs/Fire Moth F.gif"
exact "Fire Moth H" "mechs/Fire Moth H.gif"
exact "Fire Moth K" "mechs/Fire Moth K.gif"

chassis "Fire Scorpion" "mechs/Fire Scorpion.gif"
exact "Fire Scorpion 2" "mechs/Fire Scorpion 2.gif"

chassis "Firestarter"      "mechs/Firestarter.gif"
exact "Firestarter FS9-M"  "mechs/Firestarter FS9-M.gif"
exact "Firestarter FS9-O"  "mechs/Firestarter FS9-O.gif"
exact "Firestarter FS9-OA" "mechs/Firestarter FS9-OA.gif"
exact "Firestarter FS9-OB" "mechs/Firestarter FS9-OB.gif"
exact "Firestarter FS9-OC" "mechs/Firestarter FS9-OC.gif"
exact "Firestarter FS9-OD" "mechs/Firestarter FS9-OD.gif"
exact "Firestarter FS9-OE" "mechs/Firestarter FS9-OE.gif"
exact "Firestarter FS9-OF" "mechs/Firestarter FS9-OF.gif"
exact "Firestarter FS9-OG" "mechs/Firestarter FS9-OG.gif"
exact "Firestarter FS9-OH" "mechs/Firestarter FS9-OH.gif"
exact "Firestarter FS9-OR" "mechs/Firestarter FS9-OR.gif"
exact "Firestarter FS9-OX" "mechs/Firestarter FS9-OX.gif"

chassis "Flashfire" "mechs/Flashfire.gif"

chassis "Flashman" "mechs/Flashman.gif"

chassis "Flea"     "mechs/Flea.gif"
exact "Flea FLE-4" "mechs/Flea FLE-4.gif"


###########
# Mechs G #
###########

chassis "Galahad" "mechs/Galahad.gif"

chassis "Gallowglas" "mechs/Gallowglas.gif"

chassis "Gargoyle" "mechs/Gargoyle.gif"
exact "Gargoyle A" "mechs/Gargoyle A.gif"
exact "Gargoyle B" "mechs/Gargoyle B.gif"
exact "Gargoyle C" "mechs/Gargoyle C.gif"
exact "Gargoyle D" "mechs/Gargoyle D.gif"
exact "Gargoyle E" "mechs/Gargoyle E.gif"
exact "Gargoyle G" "mechs/Gargoyle G.gif"
exact "Gargoyle H" "mechs/Gargoyle H.gif"
exact "Gargoyle M" "mechs/Gargoyle M.gif"

chassis "Garm"        "mechs/Garm.gif"
exact "Garm GRM-01A2" "mechs/Garm GRM-01A2.gif"
exact "Garm GRM-01B"  "mechs/Garm GRM-01B.gif"
exact "Garm GRM-01C"  "mechs/Garm GRM-01C.gif"

chassis "Ghost" "mechs/Ghost.gif"

chassis "Gladiator" "mechs/Gladiator.gif"
exact "Gladiator GLD-5R" "mechs/Gladiator GLD-5R.gif"

chassis "Glass Spider" "mechs/Glass Spider.gif"
exact "Glass Spider 2" "mechs/Glass Spider 2.gif"
exact "Glass Spider 3" "mechs/Glass Spider 3.gif"

chassis "Goliath"      "mechs/Goliath.gif"
exact "Goliath GOL-4S" "mechs/Goliath GOL-4S.gif"
exact "Goliath GOL-5D" "mechs/Goliath GOL-5D.gif"

chassis "Grand Crusader" "mechs/Grand Crusader.gif"

chassis "Grand Crusader II" "mechs/Grand Crusader 2.gif"

chassis "Grand Dragon" "mechs/Grand Dragon.gif"

chassis "Grand Panther" "mechs/Grand Panther.gif"

chassis "Grand Titan"         "mechs/Grand Titan.gif"
exact "Grand Titan T-IT-N11M" "mechs/Grand Titan T-IT-N11M.gif"

chassis "Grasshopper"      "mechs/Grasshopper.gif"
exact "Grasshopper GHR-5N" "mechs/Grasshopper GHR-5N.gif"

chassis "Grasshopper II" "mechs/Grasshopper II.gif"

chassis "Great Bear" "mechs/Great Bear.gif"

chassis "Great Turtle" "mechs/Great Turtle.gif"

chassis "Great Wyrm" "mechs/Great Wyrm.gif"
exact "Great Wyrm 2" "mechs/Great Wyrm 2.gif"

#Battlearmor with identical Name exists... => matching via exact
#chassis "Grenadier" "mechs/Grenadier.gif"
exact "Grenadier Grenadier" "mechs/Grenadier.gif"

chassis "Griffin"       "mechs/Griffin.gif"
exact "Griffin GRF-1S"  "mechs/Griffin GRF-1S.gif"
exact "Griffin GRF-1DS" "mechs/Griffin GRF-1DS.gif"

chassis "Griffin IIC" "mechs/Griffin IIC.gif"
exact "Griffin IIC 3" "mechs/Griffin IIC 3.gif"
exact "Griffin IIC 4" "mechs/Griffin IIC 4.gif"
exact "Griffin IIC 5" "mechs/Griffin IIC 5.gif"

chassis "Grigori"                 "mechs/Grigori.gif"
exact "Grigori C-GRG-OA Dominus"  "mechs/Grigori C-GRG-OA Dominus.gif"
exact "Grigori C-GRG-OB Infernus" "mechs/Grigori C-GRG-OB Infernus.gif"
exact "Grigori C-GRG-OC Comminus" "mechs/Grigori C-GRG-OC Comminus.gif"
exact "Grigori C-GRG-OD Luminos"  "mechs/Grigori C-GRG-OD Luminos.gif"
exact "Grigori C-GRG-OE Eminus"   "mechs/Grigori C-GRG-OE Eminus.gif"

chassis "Grim Reaper" "mechs/Grim Reaper.gif"

chassis "Grizzly" "mechs/Grizzly.gif"

chassis "Guillotine" "mechs/Guillotine.gif"

chassis "Guillotine IIC" "mechs/Guillotine IIC.gif"

chassis "Gunslinger" "mechs/Gunslinger.gif"

chassis "Gurkha" "mechs/Gurkha.gif"


###########
# Mechs H #
###########

chassis "Hachiwara" "mechs/Hachiwara.gif"

chassis "Hades" "mechs/Hades.gif"

chassis "Hammer" "mechs/Hammer.gif"

